source_row_index,filtered_row_index,op_id,_oil_norm,Bezeichnung,Drehzahl,Ölbezeichnung,Kältemittel,T1_SH,T_evap,T_cond,N,P1_mean,P2_mean,T1_mean,T2_mean,T7_mean,Tamb_mean,Pel_mean,suction_mf_mean
119,116,N70_SH20_Te10_Tc50,LPG100,T2s50_20SH,70.0,LPG100,Propan,20.0,10.0,50.0,4209.79,6.32925,17.2103,31.0286,81.0599,74.1486,29.496,1950.69,24.5057
56,55,N70_SH20_Te10_Tc50,LPG68,T2s50_20SH,70.0,LPG68,Propan,20.0,10.0,50.0,4209.79,6.44475,17.1738,31.3771,79.884,72.7577,26.7957,1931.56,25.0873
122,119,N70_SH30_Te0_Tc50,LPG100,T2s50_30SH,70.0,LPG100,Propan,30.0,0.0,50.0,4209.79,4.74389,17.0666,30.3932,92.5948,84.2081,29.664,1937.03,17.6488
59,58,N70_SH30_Te0_Tc50,LPG68,T2s50_30SH,70.0,LPG68,Propan,30.0,0.0,50.0,4209.79,4.78442,17.1456,30.4968,91.82,83.3041,29.2812,1922.26,17.663
112,109,N70_SH10_Te0_Tc60,LPG100,T2s60_10SH,70.0,LPG100,Propan,10.0,0.0,60.0,4209.79,4.72874,21.2193,9.23665,85.6782,78.8268,30.4745,2217.68,18.5593
49,48,N70_SH10_Te0_Tc60,LPG68,T2s60_10SH,70.0,LPG68,Propan,10.0,0.0,60.0,4209.79,4.78747,21.2104,9.86615,85.3274,78.2566,29.4664,2198.36,19.0563
113,110,N70_SH10_Te5_Tc60,LPG100,T2s60_10SH,70.0,LPG100,Propan,10.0,5.0,60.0,4209.79,5.50978,21.2347,15.9822,85.5586,78.9394,30.6976,2276.2,21.5734
50,49,N70_SH10_Te5_Tc60,LPG68,T2s60_10SH,70.0,LPG68,Propan,10.0,5.0,60.0,4209.79,5.47007,21.1518,15.5808,83.7533,77.7593,28.4624,2248.91,21.6663
114,111,N70_SH10_Te10_Tc60,LPG100,T2s60_10SH,70.0,LPG100,Propan,10.0,10.0,60.0,4209.79,6.3544,21.2368,20.3197,81.714,75.7379,30.7339,2294.82,25.2589
51,50,N70_SH10_Te10_Tc60,LPG68,T2s60_10SH,70.0,LPG68,Propan,10.0,10.0,60.0,4209.79,6.35795,21.1432,19.8285,80.2384,75.0486,28.7742,2280.95,25.5487
115,112,N70_SH10_Te15_Tc60,LPG100,T2s60_10SH,70.0,LPG100,Propan,10.0,15.0,60.0,4209.79,7.32349,21.2399,25.0784,79.4152,73.958,30.6035,2297.91,29.3589
52,51,N70_SH10_Te15_Tc60,LPG68,T2s60_10SH,70.0,LPG68,Propan,10.0,15.0,60.0,4209.79,7.30263,21.163,25.3639,79.1923,74.2015,28.9355,2279.2,29.7139
116,113,N70_SH10_Te20_Tc60,LPG100,T2s60_10SH,70.0,LPG100,Propan,10.0,20.0,60.0,4209.79,8.33446,21.1421,30.3384,77.7619,72.7271,30.5995,2279.12,34.1422
53,52,N70_SH10_Te20_Tc60,LPG68,T2s60_10SH,70.0,LPG68,Propan,10.0,20.0,60.0,4209.79,8.33105,21.1775,29.4061,76.748,71.4463,28.7621,2261.69,34.5705
117,114,N70_SH10_Te25_Tc60,LPG100,T2s60_10SH,70.0,LPG100,Propan,10.0,25.0,60.0,4209.79,9.5218,21.1697,34.9109,75.8213,70.7639,30.3185,2223.88,39.7423
54,53,N70_SH10_Te25_Tc60,LPG68,T2s60_10SH,70.0,LPG68,Propan,10.0,25.0,60.0,4209.79,9.47804,21.2001,34.7635,76.1819,71.1697,28.9429,2215.36,39.6077
120,117,N70_SH20_Te0_Tc60,LPG100,T2s60_20SH,70.0,LPG100,Propan,20.0,0.0,60.0,4209.79,4.72826,21.2284,20.4775,93.8349,85.4478,28.1277,2210.69,17.9397
57,56,N70_SH20_Te0_Tc60,LPG68,T2s60_20SH,70.0,LPG68,Propan,20.0,0.0,60.0,4209.79,4.79792,21.154,20.5102,93.7563,86.2692,31.0927,2198.62,18.1915
121,118,N70_SH20_Te10_Tc60,LPG100,T2s60_20SH,70.0,LPG100,Propan,20.0,10.0,60.0,4209.79,6.35466,21.1335,29.9973,89.9244,82.4585,28.3978,2294.14,24.4248
58,57,N70_SH20_Te10_Tc60,LPG68,T2s60_20SH,70.0,LPG68,Propan,20.0,10.0,60.0,4209.79,6.39812,21.3161,29.7276,88.2061,81.408,30.6371,2290.41,24.7191
123,120,N70_SH30_Te0_Tc60,LPG100,T2s60_30SH,70.0,LPG100,Propan,30.0,0.0,60.0,4209.79,4.69777,21.2254,30.17,102.486,92.8901,31.961,2204.25,17.171
60,59,N70_SH30_Te0_Tc60,LPG68,T2s60_30SH,70.0,LPG68,Propan,30.0,0.0,60.0,4209.79,4.76399,21.1798,30.8311,102.029,93.6437,32.5027,2192.79,17.3423
124,121,N70_SH30_Te10_Tc60,LPG100,T2s60_30SH,70.0,LPG100,Propan,30.0,10.0,60.0,4209.79,6.38645,21.2014,39.6969,98.7476,90.6217,32.1519,2298.36,23.57
61,60,N70_SH30_Te10_Tc60,LPG68,T2s60_30SH,70.0,LPG68,Propan,30.0,10.0,60.0,4209.79,6.35542,21.1752,39.6685,97.2241,89.6504,32.1008,2279.89,23.5618
